Algorithm,Time
baseline_degree_mix_d0d2_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,2246.0132
baseline_degree_mix_d0d2_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,2290.3054
baseline_degree_mix_independent_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,2239.9979
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,2568.9605
baseline_degree_mix_d0d2_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,2312.5794
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,1630.0484
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,2215.2608
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,1622.5801
baseline_degree_mix_independent_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,2209.6306
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,1612.5281
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,1605.3284
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L0_drop0.3_S1,1244.2582
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L0_drop0.3_S1,1206.9084
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L0_drop0.3_S3,1254.7781
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L0_drop0.3_S2,1255.8007
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L0_drop0.3_S3,1289.9249
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L0_drop0.3_S2,1247.9469
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L0_drop0.3_S3,1269.4941
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L0_drop0.3_S2,1242.9793
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L0_drop0.3_S2,1240.5856
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L0_drop0.3_S3,1294.3341
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L1_drop0.3_S3,1298.4081
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L1_drop0.3_S2,1330.8961
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L1_drop0.3_S1,1359.3149
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L1_drop0.3_S1,1439.6117
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L0_drop0.3_S1,973.7149
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L1_drop0.3_S3,1396.1541
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L1_drop0.3_S1,1341.6016
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L1_drop0.3_S2,1367.2264
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L1_drop0.3_S3,1388.4965
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L1_drop0.3_S1,1470.7216
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L1_drop0.3_S2,1443.8752
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L1_drop0.3_S3,1465.6927
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L2_drop0.3_S1,1621.0767
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L2_drop0.3_S2,1452.7333
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L1_drop0.3_S2,1338.9175
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L2_drop0.3_S1,1518.0393
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L2_drop0.3_S2,1492.9014
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_drop0.3_S1,1177.2824
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L2_drop0.3_S3,1508.456
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L2_drop0.3_S1,1686.0971
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L2_drop0.3_S3,1688.9267
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L2_drop0.3_S2,2021.5654
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L2_drop0.3_S3,1444.5053
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_drop0.3_S3,1635.7681
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_drop0.3_S3,1278.3945
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_drop0.3_S1,1795.4568
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_drop0.3_S2,1696.3787
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_drop0.3_S1,1496.7982
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_drop0.3_S3,1700.4378
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_drop0.3_S2,1776.3333
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_drop0.3_S2,2199.8623
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3_osl,1077.9319
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1_osl,1688.3719
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2_osl,1675.1949
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2_osl_nz,1048.6481
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1_nz,1691.4854
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1_osl_nz,1674.6403
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3_osl_nz,1716.1338
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2_nz,2284.0185
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_drop0.3_S2,1679.4208
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3_nz,2757.4638
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L6_drop0.3_S3,531.7622
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L6_drop0.3_S1,1927.3434
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L6_drop0.3_S3,1582.6452
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L6_drop0.3_S2,1913.1717
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_drop0.3_S3,2162.8836
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L6_drop0.3_S1,2018.4379
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L6_drop0.3_S2,1962.9096
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L6_drop0.3_S1,2071.8963
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L6_drop0.3_S3,2592.6539
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L6_drop0.3_S2,2069.1799
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,2238.5381
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L6_drop0.3_S3,2758.5803
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,2284.454
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L6_drop0.3_S2,2812.8243
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_drop0.3_S1,2263.5623
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L6_drop0.3_S1,2926.4997
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L0_drop0.3_S1,1296.6462
baseline_random_6_SF_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,1357.5061
baseline_random_6_SF_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,1362.0598
baseline_random_3_SF_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,1500.5424
baseline_random_3_SF_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,978.2894
baseline_random_3_SF_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,1315.9692
baseline_random_6_SF_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,1109.2807
baseline_random_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,2320.4939
baseline_random_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,2301.3595
baseline_random_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,2611.1291
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1_unshared,1618.4561
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3_fusioncat_mlp,1755.2377
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1_fusioncat_mlp,2237.1852
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2_unshared,2237.8535
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2_fusionadd,2239.9168
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3_unshared,2413.847
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2_fusioncat_mlp,2431.183
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3_fusionadd,2424.6104
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1_fusionadd,2287.6717
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L2_drop0.3_S1,1071.6539
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L2_drop0.3_S2,1060.5228
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L2_drop0.3_S3,1073.2807
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L2_drop0.3_S1,1072.1285
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L2_drop0.3_S2,1064.6194
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L2_drop0.3_S3,1073.5594
Original_Murata_SF_S1,3281.5492
