Algorithm,amazon,cit-Patents,com-lj,com-youtube,dblp,p2p-Gnutella31,email-EuAll,soc-Epinions1,soc-LiveJournal1,soc-Pokec,soc-Slashdot0902,web-Google,wiki-Talk,wiki-topcats
DrBC_S1,11.390518,16.398196,25.794381,4.549096,11.680943,0.241587,0.943377,0.312272,26.654185,10.366753,0.491486,3.268198,6.318357,10.237777
KADABRA_NK_err0.01_delta0.1_S2,29.811089,54.080011,89.058591,15.958855,61.540853,0.442779,1.865844,1.059378,164.451852,80.975650,1.705267,15.863106,28.832150,63.149472
DrBC_S2,11.465949,16.173450,26.720566,4.230113,11.944915,0.226406,0.971771,0.333989,28.155841,10.281163,0.488823,3.743997,5.747189,13.192837
DrBC_S3,10.721588,18.140683,26.749742,4.738209,11.939656,0.227576,0.962603,0.333417,27.207727,10.423456,0.488818,3.095295,5.899080,10.519329
KADABRA_NK_err0.01_delta0.1_S3,27.152759,53.631297,90.294956,16.271188,59.066487,0.547382,2.231247,1.353295,163.150048,83.221269,1.643433,18.244771,32.177557,62.299178
baseline_degree_mix_mass_3_SF_10_Sym+HY_10_Sym_12_L2_drop0.3_S2,0.564023,1.686617,2.969319,0.237622,0.859882,0.01399,0.024490,0.019853,2.830301,1.339290,0.031110,0.195912,0.304655,1.064024
baseline_degree_mix_mass_6_SF_10_Dir+SF_10_Sym+HY_10_mNN_12_L2_drop0.3_S2,0.790550,2.460515,4.262259,0.338210,1.167689,0.01937,0.029968,0.028896,4.215119,1.933865,0.046409,0.266154,0.369191,1.620731
baseline_degree_mix_mass_6_SF_10_Dir+SF_10_Sym+HY_10_mNN_12_L2_drop0.3_S3,0.788092,2.348268,4.241784,0.337058,1.174205,0.01926,0.029924,0.028797,4.200489,1.914563,0.046168,0.264957,0.344061,1.623589
baseline_degree_mix_mass_1_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,0.228253,0.622580,1.249850,0.132276,0.359981,0.006525,0.014060,0.009970,1.134923,0.522182,0.014193,0.098196,0.129901,0.472967
baseline_degree_mix_mass_2_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,0.285378,0.788323,1.578822,0.158283,0.438533,0.007532,0.015076,0.011400,1.445630,0.663146,0.017660,0.115848,0.146504,0.599683
baseline_degree_mix_mass_2_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,0.284386,0.782071,1.577221,0.157754,0.433969,0.007401,0.015092,0.011278,1.444722,0.643701,0.017537,0.115540,0.146499,0.600792
baseline_degree_mix_mass_6_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,0.779680,2.437404,4.368489,0.334013,1.154370,0.018927,0.029376,0.028424,4.177504,1.904091,0.045642,0.262762,0.339987,1.618451
baseline_degree_mix_mass_12_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,1.239317,3.887079,7.209540,0.539011,1.832467,0.03043,0.041466,0.046801,6.927176,3.132682,0.076529,0.415186,0.490282,2.709906
baseline_degree_mix_mass_6_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,0.790110,2.463366,4.387498,0.337997,1.183535,0.020102,0.030672,0.029207,4.202445,1.933503,0.046459,0.265797,0.345104,1.614157
baseline_degree_mix_mass_12_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,1.247618,3.744132,7.197300,0.539218,1.814173,0.030349,0.041355,0.046869,6.948123,3.130970,0.076394,0.413189,0.491107,2.713870
baseline_degree_mix_mass_1_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,0.410999,1.200454,2.019833,0.169128,0.650195,0.009876,0.020576,0.013720,1.906574,0.916328,0.020698,0.157562,0.228470,0.688601
baseline_degree_mix_independent_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,0.789757,2.242583,3.914935,0.353389,1.245691,0.019521,0.037183,0.029316,4.100358,1.816960,0.045685,0.276130,0.431020,1.556982
baseline_degree_mix_mass_6_SF_10_Dir+SF_10_Sym+HY_10_mNN_12_L2_drop0.3_S1,0.476764,1.402774,2.872263,0.247868,0.718664,0.01341,0.020287,0.020118,2.711809,1.202143,0.031797,0.185056,0.211072,1.129541
baseline_degree_mix_mass_2_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,0.284524,0.781944,1.565742,0.150857,0.430853,0.007475,0.014925,0.011304,1.439467,0.663136,0.017527,0.113359,0.146454,0.606753
baseline_degree_mix_independent_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,0.373693,1.067235,2.054281,0.206983,0.575716,0.008868,0.017959,0.014851,2.014984,0.886429,0.024059,0.145713,0.178785,0.847966
baseline_degree_mix_mass_5_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,0.428195,1.243676,2.557392,0.217401,0.656770,0.010739,0.018335,0.017540,2.391912,1.062408,0.028293,0.167512,0.197071,0.988658
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,0.629494,1.966597,3.424426,0.267248,0.940094,0.015313,0.025685,0.022467,3.251247,1.512340,0.035619,0.216045,0.320748,1.232496
baseline_degree_mix_mass_5_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,0.707678,2.207528,3.903968,0.301687,1.050841,0.017163,0.027757,0.025539,3.727379,1.705955,0.040739,0.240065,0.318166,1.432756
baseline_degree_mix_mass_5_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,0.714685,2.218492,3.914333,0.304321,1.075575,0.017566,0.028225,0.025964,3.741039,1.729853,0.041392,0.242299,0.323690,1.429361
baseline_degree_mix_mass_1_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,0.584744,1.601325,2.578812,0.254055,0.935745,0.014386,0.031776,0.020520,2.782048,1.225810,0.030876,0.206821,0.369755,1.011868
