Algorithm,amazon,cit-Patents,com-lj,com-youtube,dblp,p2p-Gnutella31,email-EuAll,soc-Epinions1,soc-LiveJournal1,soc-Pokec,soc-Slashdot0902,web-Google,wiki-Talk,wiki-topcats
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L1_drop0.3_S1,8.5611,15.6564,18.2284,4.5065,15.7423,0.2474,1.0053,0.3069,21.3300,7.5526,0.3477,3.4561,9.1285,8.0761
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L0_drop0.3_S1,55.2533,97.126,103.693,29.2124,102.9177,1.6106,6.8107,1.9550,125.4715,42.3851,2.1222,22.5340,61.5058,46.4342
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L1_drop0.3_S3,18.1076,32.6142,36.7729,9.548,33.4649,0.525,2.1675,0.6458,43.5579,15.1623,0.7199,7.3392,19.6387,16.3552
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L1_drop0.3_S1,31.2252,55.8355,61.9699,16.4779,57.8437,0.9068,3.7710,1.1110,73.8522,25.4889,1.2288,12.6795,34.1331,27.6153
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L1_drop0.3_S2,31.2252,55.8355,61.9699,16.4779,57.8437,0.9068,3.7710,1.1110,73.8522,25.4889,1.2288,12.6795,34.1331,27.6153
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L1_drop0.3_S3,31.2252,55.8355,61.9699,16.4779,57.8437,0.9068,3.7710,1.1110,73.8522,25.4889,1.2288,12.6795,34.1331,27.6153
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L1_drop0.3_S1,119.4058,211.3556,229.2842,63.0824,221.9214,3.4754,14.5983,4.2344,275.6930,93.9655,4.6317,48.6124,131.9532,102.4663
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L1_drop0.3_S2,119.4058,211.3556,229.2842,63.0824,221.9214,3.4754,14.5983,4.2344,275.6930,93.9655,4.6317,48.6124,131.9532,102.4663
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L1_drop0.3_S3,119.4058,211.3556,229.2842,63.0824,221.9214,3.4754,14.5983,4.2344,275.6930,93.9655,4.6317,48.6124,131.9532,102.4663
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L2_drop0.3_S1,13.0652,23.9835,28.1392,6.8745,23.9944,0.3772,1.5268,0.4689,32.8321,11.6722,0.5335,5.2692,13.8718,12.4558
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L2_drop0.3_S2,13.0652,23.9835,28.1392,6.8745,23.9944,0.3772,1.5268,0.4689,32.8321,11.6722,0.5335,5.2692,13.8718,12.4558
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L1_drop0.3_S2,18.1076,32.6142,36.7729,9.548,33.4649,0.525,2.1675,0.6458,43.5579,15.1623,0.7199,7.3392,19.6387,16.3552
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L2_drop0.3_S1,47.9207,85.9729,96.1121,25.2792,88.6764,1.3907,5.7640,1.7068,114.2204,39.5768,1.8947,19.4424,52.1963,42.7918
